factor_artist_name,max_artist_hotttnesss
The Freelance Hellraiser,0
Col. Bruce Hampton and the Late Bronze Age,0
The Jancee Pornick Casino,0
Elliott Sharp`s Terraplane,0
Main Concept,0
Jessie Lee Miller,0
Gatto Ciliegia Contro Il Grande Freddo,0
Bruford,0
WERNER REDLICH,0
David Devant and His Spirit Wife,0
Pine Leaf Boys,0
ALL:MY:FAULTS,0
Ivan Ferreiro,0
Diefenbach,0
Jupiter Sunrise,0
Four Bitchin' Babes,0
Jeffrey & Jack Lewis,0
Alexandre Desplat & Aaron Zigman,0
Ponto De Equilíbrio,0
Corcobado y Manta Ray,0
Fire Town,0
Arne Zank,0
Loic Lantoine,0
Cattivi Pensieri,0
Stone Gossard,0
Povia,0
Pepe Kalle,0
Goose Creek Symphony,0
Stochelo Rosenberg,0
Mr Brown,0
ÄI-TIEM,0
Re Dinamite,0
Five Fingers of Funk,0
Cuentos Borgeanos,0
Charming,0
Classic Case,0
The End Will Be Kicks,0
Larue,0
Les Philippes,0
Jim Bob,0
Lord Jamar,0
Francisco Mário,0
Chuck Mangione / Don Potter,0
Metabass 'N' Breath,0
Fixer,0
Chocolate Weasel,0
Pseudo Existors,0
Eino Grön,0
Bill Laswell and Tetsu Inoue,0
Soul Defenders,0
Tribal Jam - Portrait,0
Commit Suicide,0
Fluttr Effect,0
Abstürzende Brieftauben,0
Deekline & Wizard,0
State Of Being,0
Capitol Punishment,0
Ghymes,0
Potato 5_ Laurel Aitken,0
Twisted Charm,0
Mike Griffin & The Unknown Blues Band,0
Chuck Durfor,0
Sneeze,0
The Feeling Good Conspiracy,0
Gonga,0
Thought Industry,0
Ambre & Mark Spybey,0
William Basinski and Richard Chartier,0
Nosoträsh,0
Frederic Galliano,0
Just Luis,0
Die Türen,0
The Jack Stafford Foundation,0
King Cobb Steelie,0
Teatr Teney,0
Bill Gaither Trio,0
Kristofer Åström_ Hidden Truck,0
Rebeca Jimenez,0
Jelly Roll Morton Trio,0
Super Chikan,0
The Joe Richardson Express,0
The Pale Pacific,0
Theuns Jordaan,0
The (International) Noise Conspiracy,0
Frédérique Spigt,0
Seigmen,0
Fred Van Hove,0
Nightech,0
Juaninacka,0
Yummy Bingham / Busta Rhymes,0
Ricky Fante,0
Rat Patrol,0
Chillout In Turin,0
Torres Dani és a Veni Styx,0
Un pinguino en mi ascensor,0
Jim Cuddy,0
Destination's Calling,0
Lee Lessack and Jon Philip Alman,0
Supersister,0
Martha & The Vandellas,0
Ginger Frolic,0
Mitch Benn and The Distractions,0
Abi Wallenstein,0
Japanische Kampfhörspiele,0
Tony Mason-Cox,0
Apollo 440,0
Paul Butterfield's Better Days,0
Voltage Union,0
Think About Mutation,0
Medlz,0
Blue Stew,0
Fermented Reptile,0
Trust Obey,0
Kotaro Oshio,0
Midnight Youth,0
Albert Ayler Trio,0
Ojm,0
Honeydogs,0
O Caiman Do Rio Tea,0
The Teardrop Explodes,0
Pussy 2000,0
Ian Siegal,0
Joy Askew,0
La Descente Du Coude,0
World Inferno/Friendship Society_ The,0
Nightclub,0
The Wohlstandskinder,0
A La Carte Brass & Percussion,0
Nuova Compagnia Di Canto Popolare,0
Nik Bärtsch,0
Jean Corti,0
Los Nemus del Pacifico,0
Zámbó Jimmy,0
Frank Strozier,0
After Dark,0
Köttgrottorna,0
The Neckbones,0
Paso Doble,0
Chuck Mangione,0
The Modern,0
The Kingbees,0
Joe Pesci,0
Decima Victima,0
